tweet,sentimen,clean_tweet
"tidak semua nitijen paham ekonomi makro, jadi pengennya yg instan, yg langsung dirasakan tiap2 individu, betapa beratnya jadi presiden indonesia sudah mbangun ini itu, mikir ini itu, masih saja dihujat entah ganti presiden atau tidak, saya rasa nitijen emang cuma bisa ngehujat",positif,tidak_semua nitijen paham ekonomi makro jadi ken instan langsung rasa tiap individu betapa berat jadi presiden indonesia mbangun mikir hujat entah ganti presiden tidak_rasa nitijen emang cuma ngehujat
"#BeraniPilih02 #JokowiMenangTotalDebat #BarengJokowi  Menurut Sandy dia Dan Prabowo bersedia tidak digaji jika nanti terpilih emang rakyat tolol ,ya terang aja lu bedua udah tajir melintir ....",negatif,beranipilih jokowimenangtotaldebat barengjokowi sandy prabowo sedia tidak_gaji pilih emang rakyat tolol terang kamu bedua udah tajir melintir
Alhamdulillah bang sandi. Semoga bisa memimpin negeri ini bersama pak Prabowo. Kami dukung kebijakan pak Prabowo bersama bang Sandi dalam memperbaiki ekonomi yg terpuruk dalam 4 tahun terakhir.  Salam dari kami Agung S AnfaunnaS (Surabaya),positif,alhamdulillah bang sandi moga pimpin negeri sama pak prabowo dukung bijak pak prabowo sama bang sandi baik ekonomi puruk tahun akhir salam agung s anfaunnas surabaya
"Om Wowo menyebut kesalahan arah ekonomi Indonesia tidak semata salah @jokowi, tetapi juga presiden-presiden sebelumnya.  HYPERLINK "" https://bit.ly/2DgcEp3Â ""  https://bit.ly/2DgcEp3Â  #PrabowoSalahkanSBY",negatif,om wowo sebut salah arah ekonomi indonesia tidak_semata salah jokowi presidenpresiden belum_hyperlink prabowosalahkansby
"Debat Pamungkas Capres Cawapres Pemilu 2019, Bahas Ekonomi, Kesejahteraan Sosial @KPU_RI @bawaslu_RI @jokowi @KHMarufAmin_ @prabowo @sandiuno @TKNJokowiAmin01 #BacaKoranRM #ClickRMCoid #RakyatMerdeka #DebatCapresKelima https://rmco.id/lihat-foto/pemilu-presiden/7191/debat-pamungkas-capres-cawapres-pemilu-2019-bahas-ekonomi-kesejahteraan-sosial/1Â â€¦",netral,debat pamungkas capres cawapres milu bahas ekonomi sejahtera sosial kpuri bawasluri jokowi khmarufamin prabowo sandiuno tknjokowiamin bacakoranrm clickrmcoid rakyatmerdeka debatcapreskelima
"Prabowo Sandi siap bekerja mengabdi pd Rakyat, ini dibuktikan beliau tidak akan menerima gaji serupiahpun..",positif,prabowo sandi siap kerja abdi rakyat bukti beliau tidak_terima gaji rupiah
"Muslim kaffahnya, termasuk gaji karyawannya gak dibayar jg itu to, ngemplang pajak PANAMA papers jgn lupa, Indonesia bubar maju jalanðŸ¤£ðŸ¤£ðŸ¤£ Jd ingat lucinta Luna, suka batangan.. yg homo siapa, ingaaaatðŸ¤£ðŸ¤£ðŸ¤£",negatif,muslim kaffahnya masuk gaji karyawannya gak_bayar to ngemplang pajak panama papers jgn lupa indonesia bubar maju jalan jadi ingat lucinta luna suka batang homo siapa ingaaaat
"betul bu, jadi salahin ibu2 yg pd males ngurus anak ya... bukan karena gak mampu secara ekonomi. berarti salah persepsi nih anies dan pak prabowo.",positif,betul bu jadi salahin ibu males ngurus anak bukan_gak mampu ekonomi arti salah persepsi anies pak prabowo
Alhamdulillah. Prabowo Sandi tidak akan menerima gaji saat memimpin dan akan menyumbangkan untuk kepentingan Bangsa dan Negara ! Makin yakin 02 untuk Indonesia Adil Makmur !!!,positif,alhamdulillah prabowo sandi tidak_terima gaji pimpin sumbang penting bangsa negara makin yakin indonesia adil makmur
"Pak Jokowi, semalam tanya soal e-Sport, sebenarnya arahnya mau ke perkembangan investasi & ekonomi digital. Tapi dijawab dengan Kebutuhan Pangan.",netral,pak jokowi malam tanya soal esport benar arah kembang investasi ekonomi digital jawab butuh pangan
Daftar Presiden Sebelum Jokowi dan Uraian Singkat Kinerja Ekonomi  https://nasional.tempo.co/read/1195589/daftar-presiden-sebelum-jokowi-dan-uraian-singkat-kinerja-ekonomi?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvritÂ â€¦,netral,daftar presiden jokowi urai singkat kerja ekonomi
Kalau pernyataan bahwa @prabowo  dan @sandiuno  tdk akan ambil gaji di beritakan juga lah #UASdifitnahKejiDanBrutal https://twitter.com/Metro_TV/status/1117108862450978816Â â€¦,negatif,kalau nyata prabowo sandiuno tidak_ambil gaji berita lah uasdifitnahkejidanbrutal
"kenapa jokowi berani naikin anggaran infra besar2an, karena anggaran subsidi energi turun besar2an juga, harga minyak dunia sedang turun saat jokowi memimpin, saat yg tepat buat gak manjain rakyat, tanpa anggaran subsidi energi yg turun jokowi mustahil bisa naikin anggaran infra.",positif,jokowi berani naikin anggar infra besar anggar subsidi energi turun besar harga minyak dunia sedang turun jokowi pimpin tepat buat gak_manjain rakyat anggar subsidi energi turun jokowi mustahil naikin anggar infra
"Setuju pak @jokowi  nomer satu adalah persatuan bangsa, urusan presiden nomer dua saja. NKRI harga mati Merdeka ðŸ’ªðŸ‡®ðŸ‡©",positif,tuju pak jokowi nomer satu satu bangsa urus presiden nomer nkri harga mati merdeka
"Sejujurnya w setuju sih. Gimana ya, debat terakhir kemarin itu adalah debat capres pertama yang w tonton, dan menurutku, meskipun pak jokowi ngomongnya e e gitu tp dia tuh ngerti teori semacam ekonomi mikro makro gmn penanganannya dsb. Bangga!  https://twitter.com/snpftk/status/1117079444647059456Â â€¦",positif,jujur w tuju sih gimana debat akhir kemarin debat capres pertama w tonton turut meski pak jokowi ngomongnya e e gitu tuh erti teori macam ekonomi mikro makro bagaimana tangan bangga
"Sepertinya ML, PUBG, dan DOTA lebih bisa memajukan ekonomi dan sekaligus meningkatkan kesejahteraan rakyat ya pak @jokowi",netral,seperti ml pubg dota lebih maju ekonomi sekaligus tingkat sejahtera rakyat pak jokowi
"Prabowo dan Sandi berniat ga ambil gaji kalo menjabat. Ini memang gayanya Donald Trump, dia memang gakmau digaji. Ya udah tajir mau gmn lagi",netral,prabowo sandi niat tidak_ambil gaji kalo jabat memang gaya donald trump memang gakmau gaji udah tajir bagaimana
"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘",netral,mantulz sekali pakmengisi masa tenang umroh sama kel cinta istri anak ahirnya memang keluarga lah asset plg harga sehat sll pakdeee
Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ via @mediaindonesia,netral,jokowi raja salman sepakat tingkat kerja sama ekonomi via mediaindonesia
Pernyataan Prabowo Buat Demokrat Marah - Warta Ekonomi  https://www.wartaekonomi.co.id/read223689/pernyataan-prabowo-buat-demokrat-marah.htmlÂ â€¦,netral,nyata prabowo buat demokrat marah warta ekonomi
"Kalo pa prabowo bisa membuat harga pangan murah dan UMR naik, saya tak menyesal jika anda nanti terpilih.",positif,kalo pa prabowo buat harga pangan murah umr naik tidak_sesal pilih
"Dan Perut Rakyat, tidak bisa di isi dengan Kartu Semata... Ekonomi itu tidak sekedar Meroket ape lagi TekorðŸ¤£ðŸ˜†",negatif,perut rakyat tidak_isi kartu semata ekonomi tidak_dar roket ape tekor
"Kau yang dungu...makanya otak dipake,hal paling mendasar yg dismpaikan prabowo...ttng ekonomi lagi nyungsep,sembako mahal,petani,kesusahan,lpngan kerja sulit...trlalu bxk hal penting yg bisa diperdebatkan...NgAPAIN bahas Game Mobile legend pmbawah mudorat bagi anak bangsa,Tolol",negatif,kau dungumakanya otak dipakehal paling dasar dismpaikan prabowottng ekonomi nyungsepsembako mahalpetanikesusahanlpngan kerja sulittrlalu bxk penting diperdebatkanngapain bahas game mobile legend pmbawah mudorat anak bangsatolol
Sy paham maksuf pak @prabowo  Dia tdk bermaksud untuk serang pak @SBYudhoyono  Dia hny menyampaikan bhw strategi ekonominya hrs dirubah dr sistem lama . Masa sby pertumbuhan bagus itu lbh diaebabkan sby py posisi kuat secara politik sehingga keepmimpinannya masih efektif n stabil,positif,paham maksuf pak prabowo tidak_maksud serang pak sbyudhoyono hny sampai bhw strategi ekonomi rubah sistem lama masa sby tumbuh bagus lbh diaebabkan sby py posisi kuat politik keepmimpinannya efektif n stabil
"Kalau niatan mau memajukan pengembang lokal, itu bagus, Danai riset dan pengembangan Game mereka, bisa mulai dr game2 android, itu baru bisa mengembangkan ekonomi ( seperti Digital Happynes dgn dreadout ) atau Touchten dengan game2 androidnya, dan game2 mereka bkan game2 E Sport",positif,kalau niat maju kembang lokal bagus dana riset kembang game mulai game android baru kembang ekonomi digital happynes dreadout touchten game androidnya game bkan game e sport
"trik menurunkan harga pangan u/ mengambil hati rakyat aja, paling jg pakai model subsidi lagi seperti era presidenÂ² sebelumnya, anggaran subsidi dari hutang jg. Era @jokowi mengurangi subsidi u/ membagun infrastruktur, pemb jg menggerakkan ekonomi",negatif,trik turun harga pangan u ambil hati rakyat paling pakai model subsidi era presiden belum_anggar subsidi hutang era jokowi kurang_subsidi u membagun infrastruktur pemb gerak ekonomi
"Mereka bilang rela ga di gaji. Ya jelas, wong jadi presiden yg diincer bukan gaji. Tapi proyek2nya dong...",negatif,bilang rela tidak_gaji jelas wong jadi presiden diincer bukan_gaji proyek dong
Fadli Zon Bantah Pernyataan Prabowo Subianto Menyerang SBY soal Ekonomi Negara  http://jateng.tribunnews.com/2019/04/14/fadli-zon-bantah-pernyataan-prabowo-subianto-menyerang-sby-soal-ekonomi-negaraÂ â€¦ lewat @tribunjateng,netral,fadli zon bantah nyata prabowo subianto serang sby soal ekonomi negara lewat tribunjateng
"Di bawah perintah pak @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter. #PilihOrangBaik  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦ #PilihJelasIslamnya #PilihBajuPutih",netral,bawah perintah pak jokowi bangun spbu pertama setelag tahun kabupaten puncak jaya papua harga mula ribuliter jadi liter pilihorangbaik pilihjelasislamnya pilihbajuputih
"Rakyat hanya butuh kepastian harga2 terjangkau, cari kerja gampang bukan bakalan di php dgn kartu ini kartu itu... Prabowo Sandi solusi masalah bangsa..  https://twitter.com/AT_AbdillahToha/status/1117095305072132096Â â€¦",positif,rakyat butuh pasti harga jangkau cari kerja gampang bukan_bakal php kartu kartu prabowo sandi solusi masalah bangsa
Mau nanya Kan kulihat Prabowo itu ahli militer dan Sandi ahli ekonomi. Boleh ga aku cucuk dua02nya,netral,nanya kan lihat prabowo ahli militer sandi ahli ekonomi tidak_cucuk dua
"Yg menjadi hak penuh pejabat ya memang gajinya boss, kalau tunjangan sudah ada peruntukannya ga bisa dipakai sembarangan,",netral,jadi hak penuh jabat memang gaji boss kalau tunjang untuk tidak_pakai sembarang
Berbanding terbalik sama faktanya bahwa Wowo sama Sandi menerima sumbangan dari rakyat untuk kampanye... Apa ga malu dengan komment mereka yg ga mau menerima gaji tapi untuk kampanye aja mereka mengharapkan sumbangan dari rakyat??,negatif,banding balik sama fakta wowo sama sandi terima sumbang rakyat kampanye apa tidak_malu komment tidak_terima gaji kampanye harap sumbang rakyat
Infrakstruktur adalah bentuk keadilan sosial Pembangujan akan merata .. tdk cuma di kota2 besar saja Meningkatkan perekonomian di derah2 yg selama ininsukar terjangkau  Menteri2 jokowi banyak yg hebat..,positif,infrakstruktur bentuk adil sosial pembangujan rata tidak_cuma kota besar tingkat ekonomi dah lama ininsukar jangkau menteri jokowi banyak hebat
Akui saja perekonomian Indonesia sudah salah arah...toh pak prabowo tdk menyalahkan tapi malah menawarkan solusi utk kembali pada UUD 1945 psl 33. Jangan sok simpati hanya utk mengadu domba. rakyat butuh solusi bukan pencitraan.,negatif,aku ekonomi indonesia salah arahtoh pak prabowo tidak_salah malah tawar solusi uud psl jangan_sok simpati adu domba rakyat butuh solusi bukan_citra
Penutup debat terakhir prabowo_sandi tidak mengambil gaji presiden dan wakil presiden dan akan disumbangkan kerakyat dan kaum duafa ðŸ‘,netral,tutup debat akhir prabowosandi tidak_ambil gaji presiden wakil presiden sumbang rakyat kaum duafa
"Pa sandi sama pa prabowo itu pembisnis bro walaupun gaji presiden ga di ambil kan mereka punya bisnis sedangkan anda bagaimana boleh fanatik tapi tidak boleh memfitnah orang lain , kalo ga percaya search di google harta pa prabowo sama pa sandi",positif,pa sandi sama pa prabowo bisnis bro walaupun gaji presiden tidak_ambil kan punya bisnis bagaimana fanatik tidak_fitnah orang kalo tidak_percaya search google harta pa prabowo sama pa sandi
"Pak Prabowo-Sandi udah tajir melintir, gaji pres dan wapres receh buat beliau.. Beda ama jae dan gerombolan nya, gaji di ambil impor di tambah (fee impor di gasak juga tentunya)....  Niat mengabdi tulus utk bangsa ini yg buat Prabowo-Sandi tak terbendung....âœŒï¸ðŸ™",positif,pak prabowosandi udah tajir melintir gaji pres wapres receh buat beliau beda ama jae gerombol nya gaji ambil impor tambah fee impor gasak tentu niat abdi tulus bangsa buat prabowosandi tidak_bendung
"preseden paling fenomenal Ahok: keras dan tajam ke keluarga miskin Jakarta.Mereka digusuri dicerabut sosial ekonomi dari tempat tinggalnya. Sementara sama pemodal macam podmoro, behave nya lembut penuh kasih sayang.Ujung2nya: si dirut pengembangnya masuk bui,ahok nya pun tumbang",positif,preseden paling fenomenal ahok keras tajam keluarga miskin jakartamereka gusur cerabut sosial ekonomi tempat tinggal sama modal macam podmoro behave nya lembut penuh kasih sayangujungnya si dirut kembang masuk buiahok nya tumbang
"Luarbiasa pembangunan infrastruktur di era bapak, semoga infrastruktur yang dibangun dapat menunjang pertumbuhan ekonomi dan pemerataan sosial di Republik Indonesia semangat",positif,luarbiasa bangun infrastruktur era bapak moga infrastruktur bangun tunjang tumbuh ekonomi perata sosial republik indonesia semangat
JOKOWI main Pawang Hujan  Sejak rasa ingin 2 periode..  Ekonomi 5% itu tandanya GAGAL mas Jok,negatif,jokowi main pawang hujan sejak rasa periode ekonomi tanda gagal mas jok
"Dengan memprioritaskan perekonomian agraris bukan berarti pemerintah menghambat yg lain bung, tapi ini masalah skala prioritas. Duh gw jadi bolak balik ngomong ini, susah bener pahamnga anda ya",negatif,prioritas ekonomi agraris bukan_arti perintah hambat bung masalah skala prioritas duh jadi bolak balik bicara susah bener pahamnga
#PopulerB1 4: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ ,negatif,populerb jokowi naik tax ratio drastis guncang ekonomi
"Tidak dapat membedakan mana uang rakyat untuk gaji yang dimakan anak istrinya dengan syahwat seolah akan berkuasa selamanya, ingat : ITUPUN KAN BERLALU",negatif,tidak_beda mana uang rakyat gaji makan anak istri syahwat kuasa lama ingat itu kan lalu
Siap ketuaku.....ini bukan saja harga diri partai tapi kinerja jokowi lebih jelas dan lebih dinikmati hasilnya untuk kemaslahatan ummat bukankah garis perjuangan ketua lebih berpihak ke masyarakat yg lemah dan jokowi sudah sangat banyak membantu masyarakat sampai di desa2....,positif,siap ketuakuini bukan_harga diri partai kerja jokowi lebih jelas lebih nikmat hasil maslahat ummat bukankah garis juang ketua lebih pihak masyarakat lemah jokowi sangat banyak bantu masyarakat desa
"Hargai perbedaan, seluruh rakyat bersatu dalam kebersamaan yang must dibawah kepemimpinan Bapak Jokowi Aaamiin.  https://twitter.com/jokowi/status/1117239664727875584Â â€¦",positif,harga beda seluruh rakyat satu sama must bawah pimpin bapak jokowi aaamiin
"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan. Namun, di zaman Pak Jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan.  https://bit.l",positif,vidiaamanda april pilih jokowikma pilihorangbaik pilihjelasislamnya pilihbajuputih dulu sekadar tumbuh ekonomi perata zaman pak jokowi bukan_tumbuh ekonomi perata bangun
Ketika wanita lain cerewat pada suaminya #TerimaKasihIstriku kamu hanya cerewet sama tukang sayur yang harganya naik. @jokowi,negatif,wanita cerewat suami terimakasihistriku kamu cerewet sama tukang sayur harga naik jokowi
"Alhamdulillah, dalam membangun ekonomi dan pemerataan yang adil pasti akan mengalami batu aral dan pasti akan ada pihak yang merasa jadi korban.... tapi apa yang bapak kerjakan dan lakukan saat ini saya percaya dan yakin suatu saat anak dan cucu saya yang merasakannya",positif,alhamdulillah bangun ekonomi perata adil alami batu aral pihak rasa jadi korban apa bapak kerja laku percaya yakin suatu anak cucu rasa
Sangat disesalkan pak @jokowi  & Kyai Ma'ruf  berdebat dg Dirut & Komisaris yg msh ingin mempertahankan posisinya. Debat menjadi tdk imbang krn Dirut & Komisaris msh berorientasi ke pengelolaan persh dan bukan ekonomi sbh negara.,positif,sangat sesal pak jokowi kyai maruf debat dirut komisaris msh tahan posisi debat jadi tidak_imbang dirut komisaris msh orientasi kelola persh bukan_ekonomi sbh negara
Kenapa ekonominya ? 7% bukannya target ? kalau idola elo bicara 2 digit itu gimana ?  Terbukti kan ane bilang tegas ya seperti apa,negatif,ekonomi bukan_target kalau idola elo bicara digit gimana bukti kan ane bilang tegas apa
kalau emang prabowo mau seenggaknya prepare untuk persona agamis kaya belajar ngaji gtgt yakin 1000% bakal menang. tapi ya counter jokowi juga dengan rekrut MA ini bikin malah ga ketebak alurnya wkwkwk asli dah padahal prabowo cuma perlu jadi islami doang aslinya biar menang,negatif,kalau emang prabowo enggak_prepare persona agam kaya ajar ngaji gtgt yakin bakal menang counter jokowi rekrut ma bikin malah tidak_tebak alur wkwkwk asli dah padahal prabowo cuma perlu jadi islami asli biar menang
"Tanya utang perusahaan2nya udah di lunasin belum? Sok sok gak mau ambil gaji. Iya lah, berapa sih gaji presiden dibandingkan keuntungan dia klo jadi pejabat trus bisa main2 ama apbn?",negatif,tanya utang usaha udah lunasin belum_sok sok gak_ambil gaji iya lah berapa sih gaji presiden banding untung klo jadi jabat terus main ama apbn
"@VidiaAmanda3 17 April Pilih Jokowi-KMA. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi  https://bit.ly/2OgymxtÂ ",netral,vidiaamanda april pilih jokowikma pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pimpin jelas banyak capai nah capai ekonomi lama perintah jokowi
Kata prabowo harga dari petani naik tapi harga ke konsumen murah?  Pertanyaan saya untuk menutupi kerugian negara didapat uang darimana?  Masak iya prinsip perdagangan beli mahal jual murah ðŸ˜… sama aja HOAKS wkwk gaada yang namanya pedagang beli mahal jual murah hehe,negatif,kata prabowo harga tani naik harga konsumen murah tanya tutup rugi negara dapat uang darimana masak iya prinsip dagang beli mahal jual murah sama hoaks wkwk gaada nama dagang beli mahal jual murah hehe
"Tidak hanya utk keamanan negeri ini, kemajuan ekonomi, infrastruktur, pendidikan, birokrasi,maritim dan lainnya. Berhasil mengarah kearah lbh baik. Lanjut y Pak @jokowi 2 periode #PrabowoJAHAP #02TunggangiIslam #PrabowoSakit pic.twitter.com/WJBtINHYKl",positif,tidak_aman negeri maju ekonomi infrastruktur didik birokrasimaritim lain hasil arah arah lbh baik lanjut y pak jokowi periode prabowojahap tunggangiislam prabowosakit pictwittercomwjbtinhykl
"Cuaca cerah menyambut kedatangan Presiden @jokowi dan Ibu Iriana di Bandara Internasional King Khalid, Riyadh, Arab Saudi  Minggu 14 April 2019 pukul 08.50 Waktu Setempat (WS)   Alhamdulillah, Org yg selalu kalian hujat, tp beliau sangat dihargai dunia. #Coblos01SudahTerbukti ðŸ‘ðŸ» pic.twitter.com/SAIvVLXo9S",positif,cuaca cerah sambut datang presiden jokowi ibu iriana bandara internasional king khalid riyadh arab saudi minggu april pukul waktu tempat ws alhamdulillah orang selalu kalian hujat beliau sangat harga dunia coblossudahterbukti pictwittercomsaivvlxos
"Sungguh mulia hatinya,rela tdk mau ambil gaji sepeser pun kalo terpilih jadi presiden,masih ada orang yg tdk memikirkan diri sendiri,sedangkan siapa si yg tidak menerlukan didunia ini,ada yg sampe rela melakukan apapun demi mendapatkan uang,tp hati mu prabowo sandi berkata lain,",positif,sungguh mulia hatinyarela tidak_ambil gaji peser kalo pilih jadi presidenmasih orang tidak_pikir diri sendirisedangkan siapa si tidak_luk dunia iniada sampe rela laku apa dapat uangtp hati mu prabowo sandi kata
Pak jokowi sudah berusaha agar ekonomi kita maju rakyat sejahtera dengan adanya Dana Desa. Pak probowo dan pak sandi hanya teori saja belum bisa terjun langsung kelapangan.  Capres dan cawapres dari 1 partai. Partai pendukung dikemanakan...  #JokowiDILANjutkanLagi,positif,pak jokowi usaha ekonomi maju rakyat sejahtera ada dana desa pak probowo pak sandi teori belum_terjun langsung lapang capres cawapres partai partai dukung mana jokowidilanjutkanlagi
"Kata Prabowo, SBY ikut bikin ekonomi Indonesia salah arah. Begitu ya. Paham saya.",positif,kata prabowo sby ikut bikin ekonomi indonesia salah arah paham
"Masalahnya anda ga bisa mengatasi CAD, ga bisa membangun industri nasional yg murni 100% milik entrepreneur Indonesia, ga bisa membangun kedaulatan pangan, energi. ekonomi, dll.",negatif,masalah tidak_atas cad tidak_bangun industri nasional murni milik entrepreneur indonesia tidak_bangun daulat pangan energi ekonomi
Semoga president yang terpilih nanti bisa menurunkan harga tiket pesawat @jokowi @prabowo #01 #02 #dilemapengenjalanjalan,positif,moga president pilih turun harga tiket pesawat jokowi prabowo dilemapengenjalanjalan
"Prabowo-sandi sepakat tidak akan mengambil gaji jika terpilih nanti, berjanji akan menghormati ulama dan mematuhi fakta integritas bersama ijtima ulama.  #17AprilMantapPilihPrabowoSandi",netral,prabowosandi sepakat tidak_ambil gaji pilih janji hormat ulama patuh fakta integritas sama ijtima ulama aprilmantappilihprabowosandi
Yang penting harga bahan pokok murah terjangkau usaha lancar  hidup tenang (tahun 2014 saya pilih Prabowo sekarang pilih Prabowo sandi juga,positif,penting harga bahan pokok murah jangkau usaha lancar hidup tenang tahun pilih prabowo sekarang pilih prabowo sandi
"gue kasih tau..Jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter.Â  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦Â #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih",positif,kasih taujokowi bangun spbu pertama setelag tahun kabupaten puncak jaya papua harga mula ribuliter jadi liter pilihorangbaik pilihjelasislamnya pilihbajuputih
"Pak Jokowi diwarisi ekonomi yg bobrok, sdh lumayan 4,5 thn bisa seperti skrng, ini semua #bukansalahbapak ðŸ˜",negatif,pak jokowi waris ekonomi bobrok lumayan thn sekarang semua bukansalahbapak
#PrabowoSalahkanSBY Semakin mantap pilih @jokowi. PS bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan Jokowi lagi ya krn bosmu udah bilang itu bukan salah Jokowi.  https://bit.ly/2UyAoiRÂ ,positif,prabowosalahkansby makin mantap pilih jokowi ps bilang debat ada ekonomi indonesia bukan_salah jokowi salah pimpin dahulu jadi gemar jangan_salah jokowi bos udah bilang bukan_salah jokowi
"Kami sdh sangat bersyukur dengan keadaan ini, gaji 100% utk rakyat. Mau segalanya lebih baik, tusuk @prabowo @sandiuno   Allah yang Maha Membolak balikkan hati.  #DebatPilpres2019",positif,sangat syukur ada gaji rakyat segala lebih baik tusuk prabowo sandiuno allah maha bolak balik hati debatpilpres
Tidak tercapai karena tidak mampu. Kemampuan yg dibutuhkan agar ekonomi Indonesia bisa 7% ada pada diri Prabowo-Sandi. Lihat saja latar belakang pendidikan dan pengalamannya dalam bidang ekonomi. Data mana lagi yg engkau dustakan?,positif,tidak_capai tidak_mampu mampu butuh ekonomi indonesia diri prabowosandi lihat latar belakang didik alam bidang ekonomi data mana engkau dusta
